cdd2023-09-23 03:08:25,494 Failed to find Arc
2023-09-23 03:09:35,462 Failed to find Arc
2023-09-23 03:14:08,004 Failed to find Arc
2023-09-23 03:15:50,348 Failed to find Arc
2023-09-23 03:17:59,014 Failed to find Arc
2023-09-23 03:29:12,025 'NoneType' object is not callable
2023-09-23 03:29:13,357 'NoneType' object is not callable
2023-09-23 03:29:55,941 'NoneType' object is not callable
2023-09-23 03:29:57,293 'NoneType' object is not callable
2023-09-23 03:30:28,926 'NoneType' object is not subscriptable
2023-09-23 03:30:30,259 'NoneType' object is not subscriptable
2023-09-23 03:31:57,325 'NoneType' object is not subscriptable
2023-09-23 03:31:58,628 'NoneType' object is not subscriptable
2023-09-23 03:32:18,842 'NoneType' object is not subscriptable
2023-09-23 03:32:20,142 'NoneType' object is not subscriptable
2023-09-23 03:33:15,939 'NoneType' object is not subscriptable
2023-09-23 03:33:17,299 'NoneType' object is not subscriptable
2023-09-23 03:34:33,891 'NoneType' object is not subscriptable
2023-09-23 03:34:35,232 'NoneType' object is not subscriptable
2023-09-23 03:35:19,623 Failed to find Arc
2023-09-23 03:35:21,035 Failed to find Arc
2023-09-23 03:36:21,328 Failed to find Arc
2023-09-23 03:36:22,699 Failed to find Arc
2023-09-23 03:38:23,229 Failed to find Arc
2023-09-23 03:38:24,574 Failed to find Arc
2023-09-23 03:42:20,381 Failed to find Arc
2023-09-23 03:42:21,745 Failed to find Arc
2023-09-23 03:43:18,710 Failed to find Arc
2023-09-23 03:43:20,060 Failed to find Arc
2023-09-23 03:43:57,191 Failed to find Arc
2023-09-23 03:43:58,530 Failed to find Arc
